"CustomerId","Name","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"C15675522","Anjali Iyer","628","Germany","Female","30","9","132351.29","2","1","1","74169.13","0"
"C15705512","Shiva Bajpai","668","Germany","Female","37","6","167864.4","1","1","0","115638.29","0"
"C15698028","Neha Patel","506","France","Female","41","1","0.0","2","1","0","31766.3","0"
"C15661670","Suresh Singh","524","Germany","Female","31","8","107818.63","1","1","0","199725.39","1"
"C15600781","Shiva Nair","699","Germany","Male","34","4","185173.81","2","1","0","120834.48","0"
"C15682472","Suresh Rao","828","France","Male","34","8","129433.34","2","0","0","38131.77","0"
"C15580203","Sunita Sharma","674","Spain","Male","39","6","120193.42","1","0","0","100130.95","0"
"C15690673","Maharaj Joshi","656","France","Female","39","6","0.0","2","1","0","141069.88","0"
"C15760085","Shiva Bose","684","Germany","Female","48","10","126384.42","1","1","1","198129.36","0"
"C15779659","Nitin Mishra","625","France","Female","28","3","0.0","1","0","0","183646.41","0"
"C15627360","Suresh Rao","432","France","Male","42","9","152603.45","1","1","0","110265.24","1"
"C15671137","Anurag Thakur","549","France","Female","52","1","0.0","1","0","1","8636.05","1"
"C15782688","Amit Mishra","625","Germany","Male","56","0","148507.24","1","1","0","46824.08","1"
"C15575492","Shiva Das","828","France","Female","41","7","0.0","2","1","0","171378.77","0"
"C15591607","Anjali Singh","770","France","Male","24","9","101827.07","1","1","0","167256.35","0"
"C15740404","Priya Mishra","758","France","Female","34","3","0.0","2","1","1","124226.16","0"
"C15718369","Amit Gupta","795","Germany","Female","33","9","130862.43","1","1","1","114935.21","0"
"C15677871","Suresh Das","687","France","Male","38","9","122570.87","1","1","1","35608.88","0"
"C15642004","Harish Chopra","686","France","Male","25","1","0.0","2","0","1","16459.37","0"
"C15712543","Kavita Gupta","789","Germany","Male","39","7","124828.46","2","1","1","124411.08","0"
"C15584518","Harish Rao","589","Germany","Female","50","5","144895.05","2","1","1","34941.23","0"
"C15802381","Maharaj Joshi","461","Germany","Female","34","5","63663.93","1","0","1","167784.28","0"
"C15610156","Rohit Bajpai","637","France","Male","40","2","133463.1","1","0","1","93165.34","0"
"C15594408","Suresh Kumar","584","Spain","Female","48","2","213146.2","1","1","0","75161.25","1"
"C15640905","Meena Rao","579","Spain","Female","35","1","129490.36","2","0","1","8590.83","1"
"C15698932","Sunita Menon","756","Germany","Male","44","10","137452.09","1","1","0","189543.9","0"
"C15724944","Deepak Gupta","663","France","Male","34","7","0.0","2","1","1","180427.24","0"
"C15628145","Suresh Verma","682","France","Female","43","5","125851.93","1","1","1","193318.33","0"
"C15713483","Kavita Mishra","793","Spain","Male","52","2","0.0","1","1","0","159123.82","1"
"C15612350","Kavita Nair","691","France","Female","31","5","40915.55","1","1","0","126213.84","1"
"C15800703","Neha Joshi","485","Spain","Female","21","5","113157.22","1","1","1","54141.5","0"
"C15705707","Maharaj Mehta","635","Spain","Female","29","8","138296.94","2","1","0","141075.51","0"
"C15754105","Anurag Bose","650","France","Male","37","5","106967.18","1","0","0","24495.03","0"
"C15703264","Vikram Nair","735","France","Male","44","9","120681.63","1","1","0","74836.34","0"
"C15794413","Suresh Thakur","416","France","Male","32","0","0.0","2","0","1","878.87","0"
"C15650237","Suresh Mehta","754","Spain","Female","32","7","0.0","2","1","0","89520.75","0"
"C15759618","Deepak Thakur","535","France","Female","48","9","0.0","1","1","0","149892.79","1"
"C15811589","Neha Singh","716","Spain","Male","42","8","0.0","2","1","0","180800.42","0"
"C15689044","Maharaj Das","539","France","Male","37","2","127609.59","1","1","0","98646.22","0"
"C15709368","Nitin Joshi","614","France","Female","43","6","0.0","2","1","1","109041.53","0"
"C15679145","Suresh Pandey","706","Spain","Male","57","7","0.0","1","1","0","17941.16","1"
"C15655007","Meena Verma","758","France","Female","33","7","0.0","2","0","0","82996.47","0"
"C15623595","Deepak Menon","586","Spain","Female","28","2","0.0","2","1","1","92067.35","0"
"C15589975","Suresh Bajpai","646","France","Female","73","6","97259.25","1","0","1","104719.66","0"
"C15804017","Rohit Mehta","631","Germany","Female","33","4","123246.7","1","0","0","112687.57","0"
"C15692132","Pooja Pandey","717","Spain","Female","22","6","101060.25","1","0","1","84699.56","0"
"C15641122","Shiva Chopra","684","France","Male","30","2","0.0","2","1","0","83473.82","0"
"C15630910","Neha Sharma","800","France","Female","49","7","108007.36","1","0","0","47125.11","0"
"C15680772","Deepak Bajpai","721","Spain","Female","36","2","0.0","2","1","1","106977.8","0"
"C15658929","Kavita Pandey","683","Spain","Male","29","0","133702.89","1","1","0","55582.54","1"
"C15585388","Rahul Rao","660","Germany","Male","31","9","125189.75","2","1","1","139874.43","0"
"C15724623","Rohit Gupta","704","Germany","Female","24","7","113034.22","1","1","0","162503.48","1"
"C15588537","Deepak Nair","615","Spain","Female","41","9","109013.23","1","1","0","196499.96","0"
"C15574692","Ramesh Mehta","667","Spain","Female","39","2","0.0","2","1","0","40721.24","1"
"C15611325","Anjali Bajpai","682","Germany","Male","24","9","57929.81","2","0","0","53134.3","0"
"C15587562","Shiva Bajpai","484","France","Female","29","4","130114.39","1","1","0","164017.89","0"
"C15613172","Nitin Mehta","628","Germany","Male","27","5","95826.49","2","1","0","155996.96","0"
"C15651022","Shiva Thakur","480","Germany","Male","44","10","129608.57","1","1","0","5472.7","1"
"C15586310","Shiva Mehta","578","France","Male","30","4","169462.09","1","1","0","112187.11","0"
"C15625524","Rohit Das","512","France","Male","40","5","0.0","2","1","1","146457.83","0"
"C15755209","Vikram Pandey","484","Spain","Female","35","7","133868.21","1","1","1","27286.1","0"
"C15645248","Priya Thakur","510","France","Female","30","0","0.0","2","1","1","130553.47","0"
"C15790355","Maharaj Verma","606","Germany","Male","36","5","190479.48","2","0","0","179351.89","0"
"C15762615","Sanjay Chopra","597","Spain","Female","40","8","101993.12","1","0","1","94774.12","0"
"C15625426","Shiva Das","754","Germany","Female","55","3","161608.81","1","1","0","8080.85","1"
"C15716334","Rohit Mehta","850","Spain","Female","45","2","122311.21","1","1","1","19482.5","0"
"C15789669","Anurag Patel","510","France","Male","65","2","0.0","2","1","1","48071.61","0"
"C15621075","Amit Nair","778","Germany","Female","45","1","162150.42","2","1","0","174531.27","0"
"C15810845","Anjali Verma","636","France","Male","42","2","0.0","2","1","1","55470.78","0"
"C15719377","Pooja Singh","804","France","Female","50","4","0.0","1","1","1","8546.87","1"
"C15654506","Sanjay Rao","514","France","Male","32","8","0.0","2","1","0","95857.18","0"
"C15771977","Priya Bajpai","730","France","Female","39","1","99010.67","1","1","0","194945.8","0"
"C15708710","Meena Bose","525","Spain","Female","37","0","0.0","1","0","1","131521.72","0"
"C15726676","Maharaj Das","616","Spain","Male","30","5","0.0","2","0","1","196108.51","0"
"C15587421","Ramesh Verma","687","Germany","Female","34","7","111388.18","2","1","0","148564.76","0"
"C15726931","Rohit Das","715","France","Female","41","8","56214.85","2","0","0","92982.61","1"
"C15771086","Pooja Rao","512","France","Female","36","3","84327.77","2","1","0","17675.36","0"
"C15756850","Nitin Patel","479","France","Male","40","1","0.0","2","0","0","114996.43","0"
"C15702741","Anjali Reddy","601","France","Male","32","8","93012.89","1","1","0","86957.42","0"
"C15679200","Pooja Bajpai","580","Spain","Male","29","9","61710.44","2","1","0","128077.8","0"
"C15594815","Maharaj Nair","807","France","Male","35","3","174790.15","1","1","1","600.36","0"
"C15635905","Harish Mishra","616","Spain","Female","32","6","0.0","2","1","1","43001.46","0"
"C15777892","Vikram Nair","721","Germany","Male","37","3","107720.64","1","1","1","158591.12","0"
"C15656176","Suresh Iyer","501","France","Male","57","10","0.0","2","1","1","47847.19","0"
"C15811127","Amit Singh","521","France","Male","35","6","96423.84","1","1","0","10488.44","0"
"C15604482","Rahul Pandey","850","Spain","Male","30","2","141040.01","1","1","1","5978.2","0"
"C15622911","Priya Rao","759","France","Male","42","4","105420.18","1","0","1","121409.06","0"
"C15600974","Meena Das","516","Spain","Male","50","5","0.0","1","0","1","146145.93","1"
"C15727868","Vikram Nair","711","France","Female","38","2","129022.06","2","1","1","14374.86","1"
"C15627801","Vikram Joshi","512","Spain","Male","33","3","176666.62","1","1","0","94670.77","0"
"C15773039","Sunita Reddy","550","France","Male","37","3","0.0","1","1","1","179670.31","0"
"C15755262","Kavita Iyer","608","Spain","Female","41","3","89763.84","1","0","0","199304.74","1"
"C15679531","Vikram Bajpai","618","France","Male","34","5","134954.53","1","1","1","151954.39","0"
"C15684181","Anurag Bajpai","643","France","Male","45","5","0.0","1","1","0","142513.5","1"
"C15612087","Kavita Iyer","671","France","Male","45","2","106376.85","1","0","1","158264.62","0"
"C15752047","Rahul Reddy","689","Germany","Male","33","2","161814.64","2","1","0","169381.9","0"
"C15624592","Rohit Sharma","603","France","Male","31","8","0.0","2","1","1","169915.02","0"
"C15573152","Shiva Mehta","620","France","Female","41","9","0.0","2","0","0","88852.47","0"
"C15594917","Ramesh Mehta","676","France","Female","34","1","63095.01","1","1","1","40645.81","0"
"C15785542","Pooja Chopra","572","Germany","Male","26","4","118287.01","2","0","0","60427.3","0"
"C15723488","Nitin Bajpai","668","Germany","Male","47","7","106854.21","1","0","1","157959.02","1"
"C15680920","Maharaj Mishra","695","France","Male","46","7","49512.55","1","1","0","133007.34","0"
"C15786308","Priya Patel","730","Spain","Female","33","9","0.0","2","0","0","176576.62","0"
"C15659366","Amit Pandey","807","France","Male","43","1","105799.32","2","1","0","34888.04","1"
"C15774854","Vikram Pandey","592","France","Male","54","8","0.0","1","1","1","28737.71","1"
"C15725311","Sanjay Iyer","726","France","Female","31","9","114722.05","2","1","1","98178.57","0"
"C15787155","Anjali Sharma","514","Spain","Male","30","7","0.0","1","0","1","125010.24","0"
"C15727829","Rohit Nair","567","France","Male","42","2","0.0","2","1","1","167984.61","0"
"C15733247","Vikram Mishra","850","France","Male","33","10","0.0","1","1","0","4861.72","1"
"C15568748","Amit Gupta","671","Germany","Male","45","6","99564.22","1","1","1","108872.45","1"
"C15699029","Kavita Kumar","670","France","Male","37","4","170557.91","2","1","0","198252.88","0"
"C15774393","Sanjay Iyer","694","France","Female","30","9","0.0","2","1","1","26960.31","0"
"C15676895","Anurag Verma","547","Germany","Female","39","6","74596.15","3","1","1","85746.52","1"
"C15637753","Priya Kumar","751","Germany","Male","50","2","96888.39","1","1","0","77206.25","1"
"C15605461","Ramesh Bajpai","594","Germany","Female","29","3","130830.22","1","1","0","61048.53","0"
"C15808473","Sunita Rao","673","France","Male","72","1","0.0","2","0","1","111981.19","0"
"C15627000","Kavita Thakur","610","France","Male","40","0","0.0","2","1","0","62232.6","0"
"C15787174","Anjali Mehta","512","France","Female","37","1","0.0","2","0","1","156105.03","0"
"C15723886","Deepak Singh","767","Germany","Male","20","3","119714.25","2","0","1","150135.38","0"
"C15704769","Rahul Chopra","585","France","Female","67","5","113978.97","2","0","1","93146.11","0"
"C15772896","Maharaj Das","763","Germany","Male","42","6","100160.75","1","1","0","33462.94","1"
"C15711540","Pooja Das","712","France","Female","29","2","0.0","1","1","1","144375.0","0"
"C15764866","Sunita Nair","539","Germany","Female","43","3","116220.5","3","1","0","55803.96","1"
"C15794056","Ramesh Menon","668","France","Female","46","2","0.0","3","1","0","89048.46","1"
"C15795149","Suresh Patel","703","France","Male","28","2","81173.83","2","0","1","162812.16","0"
"C15812009","Kavita Patel","662","Spain","Male","38","4","0.0","2","1","0","136259.65","0"
"C15651001","Neha Mishra","725","Germany","Female","39","5","116803.8","1","1","0","124052.97","0"
"C15813844","Meena Reddy","703","France","Male","37","8","105961.68","2","0","1","74158.8","0"
"C15596175","Sanjay Patel","659","Germany","Male","67","6","117411.6","1","1","1","45071.09","1"
"C15576269","Shiva Gupta","523","Spain","Male","34","7","0.0","2","1","0","62030.06","0"
"C15797219","Deepak Das","635","France","Female","40","10","123497.58","1","1","0","131953.23","1"
"C15685500","Anjali Mishra","772","Germany","Male","26","7","152400.51","2","1","0","79414.0","0"
"C15599792","Nitin Patel","545","France","Female","26","1","0.0","2","1","1","199638.56","0"
"C15657566","Harish Pandey","634","Germany","Male","24","8","103097.85","1","1","1","157577.29","0"
"C15772423","Rahul Bajpai","739","Germany","Male","54","8","126418.14","1","1","0","134420.75","1"
"C15628112","Anurag Nair","771","Germany","Female","36","5","77846.9","1","0","0","99805.99","0"
"C15753754","Anurag Singh","587","Spain","Female","34","1","0.0","2","1","1","97932.68","0"
"C15793726","Vikram Nair","681","France","Female","79","0","0.0","2","0","1","170968.99","0"
"C15694717","Suresh Kumar","544","Germany","Male","37","2","79731.91","1","1","1","57558.95","0"
"C15665834","Priya Sharma","696","Spain","Male","28","8","0.0","1","0","0","176713.47","0"
"C15765297","Maharaj Mishra","766","Spain","Male","41","0","0.0","2","0","1","34283.23","0"
"C15636684","Anurag Kumar","727","France","Male","34","10","0.0","2","1","1","198637.34","0"
"C15592979","Priya Mishra","671","Germany","Female","34","6","37266.67","2","0","0","156917.12","0"
"C15750803","Neha Das","693","France","Female","30","6","127992.25","1","1","1","50457.2","0"
"C15607178","Sanjay Kumar","850","Germany","Male","38","3","54901.01","1","1","1","140075.55","0"
"C15713853","Meena Sharma","732","Germany","Male","42","9","108748.08","2","1","1","65323.11","0"
"C15673481","Pooja Bajpai","726","Spain","Female","48","6","99906.19","1","1","0","64323.24","0"
"C15686776","Maharaj Mehta","557","France","Female","32","6","184686.41","2","1","0","14956.44","0"
"C15673693","Anjali Bose","682","France","Female","26","0","110654.02","1","0","1","111879.21","0"
"C15700696","Deepak Mehta","738","Spain","Male","31","9","79019.8","1","1","1","18606.23","0"
"C15813163","Meena Kumar","531","Spain","Female","36","9","99240.51","1","1","0","123137.01","0"
"C15653857","Rohit Menon","498","France","Male","34","2","0.0","2","1","1","148528.24","0"
"C15777076","Sunita Singh","651","France","Male","36","7","0.0","2","1","0","13898.31","0"
"C15717398","Sunita Menon","549","Spain","Female","39","7","0.0","1","0","0","81259.25","1"
"C15799217","Anjali Das","791","Germany","Female","35","7","52436.2","1","1","0","161051.75","0"
"C15787071","Maharaj Verma","650","Spain","Male","41","9","0.0","2","0","1","191599.67","0"
"C15619955","Anjali Menon","733","Germany","Male","34","3","100337.96","3","1","0","48559.19","1"
"C15796505","Anjali Chopra","811","Germany","Female","34","1","149297.19","2","1","1","186339.74","0"
"C15725166","Anurag Singh","707","France","Male","30","8","0.0","2","1","0","33159.37","0"
"C15800116","Sanjay Mishra","712","Germany","Male","28","4","145605.44","1","0","1","93883.53","0"
"C15758685","Rohit Rao","706","Spain","Female","37","7","0.0","2","1","1","110899.3","0"
"C15694456","Kavita Menon","756","France","Male","62","3","0.0","1","1","1","11199.04","1"
"C15767339","Shiva Mehta","777","France","Female","53","10","0.0","2","1","0","189992.97","0"
"C15683562","Deepak Sharma","646","France","Male","35","6","84026.86","1","0","1","164255.69","0"
"C15782210","Nitin Verma","714","France","Male","46","1","0.0","1","1","0","152167.79","1"
"C15668893","Anurag Menon","782","France","Male","39","8","0.0","2","1","1","33949.67","0"
"C15669169","Pooja Menon","775","Spain","Male","29","10","0.0","2","1","1","68143.93","0"
"C15643024","Amit Mishra","479","Germany","Male","35","4","138718.92","1","1","1","47251.79","1"
"C15699389","Sunita Sharma","807","France","Male","42","7","118274.71","1","1","1","25885.72","0"
"C15708608","Neha Sharma","799","France","Female","22","8","174185.98","2","0","1","192633.85","0"
"C15626144","Harish Verma","675","France","Male","40","7","113208.86","2","1","0","34577.36","0"
"C15573112","Rahul Singh","602","Spain","Male","29","5","103907.28","1","1","0","161229.84","0"
"C15790678","Sunita Chopra","475","France","Female","32","8","119023.28","1","1","0","100816.29","0"
"C15727556","Deepak Chopra","744","Spain","Female","26","5","166297.89","1","1","1","181694.44","0"
"C15697307","Amit Kumar","588","Spain","Male","34","10","0.0","2","1","0","79078.91","0"
"C15652266","Shiva Reddy","703","Germany","Male","42","9","63227.0","1","0","1","137316.32","0"
"C15607098","Vikram Bajpai","747","Spain","Female","41","5","94521.17","2","1","0","194926.86","0"
"C15655774","Neha Bose","583","France","Male","27","7","0.0","2","1","0","51285.49","0"
"C15590241","Anurag Menon","750","Spain","Female","34","9","112822.26","1","0","0","150401.53","1"
"C15785819","Amit Gupta","681","France","Male","38","3","0.0","2","1","1","112491.96","0"
"C15723654","Priya Patel","773","France","Male","25","2","135903.33","1","1","0","73656.38","0"
"C15774510","Suresh Das","714","France","Female","31","4","125169.26","1","1","1","106636.89","0"
"C15684173","Priya Chopra","687","Spain","Female","44","7","0.0","3","1","0","155853.52","1"
"C15650068","Shiva Sharma","511","France","Male","58","0","149117.31","1","1","1","162599.51","0"
"C15811490","Priya Gupta","627","France","Male","33","5","0.0","2","1","1","103737.82","0"
"C15803976","Anjali Iyer","694","France","Female","31","10","0.0","2","1","0","160990.27","0"
"C15682541","Kavita Nair","616","Spain","Female","36","6","132311.71","1","0","0","15462.84","0"
"C15695699","Sunita Bajpai","687","France","Male","35","8","0.0","2","1","0","10334.05","0"
"C15624188","Nitin Singh","712","France","Female","33","6","0.0","2","1","1","190686.16","0"
"C15812191","Rahul Chopra","553","France","Male","33","4","118082.89","1","0","0","94440.45","0"
"C15636673","Suresh Iyer","667","France","Male","31","1","119266.69","1","1","1","28257.63","0"
